TEXT	TEXT	DATE	LIST(TEXT)	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	INTEGER	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT
Code	Title	Last Modified	Core	CoreMSOCD	CoreMCAM	CoreUG	Credits	Category	Proposing faculty	Proposing faculty 2	Proposing faculty 3	Curriculum	Senate approved on	Show	Prerequisites	Status	Prerevision code	Dual code	Revision info	Faculty
CS5019	Advanced Computer Architecture	2022/05/15	[msocd]	Yes	No	No	3-0-0-3	PMT	Sandeep Chandran	Vivek Chaturvedi		2020	11	TRUE	A basic course on Computer Organization/Architecture	new			This course will replace another course offered under the same name by the CSE Department (CS4505: Advanced Computer Architecture). The original course will be discontinued going forward. The syllabus of this course is tailored to suit graduate students.               	
CS5119	Advanced Computer Architecture Lab		[msocd]	Yes	No	No	0-0-3-2	PML	Sandeep Chandran	Vivek Chaturvedi		2020	18	TRUE						
CS5009	Algorithms	2023/05/16	[mcam]	No	Yes	No	3-1-0-4	PMT	Jasine Babu	Krithika Ramaswamy		2020	11	TRUE	-	new				
CS2080	Artificial Intelligence		[ug]	No	No	Yes	3-0-0-3	PMT	Mrinal Das			2017	6	TRUE						
CS2180	Artificial Intelligence Lab		[ug]	No	No	Yes	0-0-2-2	PMP	Mrinal Das			2017	6	TRUE						
GN5000	Communication and Technical Writing Skills		[mcam,msocd]	Yes	Yes	No	2-0-0-0	IDC	Reenu Punnoose			2020	20	TRUE						
CS3040	Compiler Design	2023/05/19	[ug]	No	No	Yes	3-0-0-3	PMP	Piyush P Kurur	Unnikrishnan Cheramangalath		[2017, 2022]	20	TRUE	Foundations of Computing Systems, Data structures and Algorithms, Data Structures and Algorithms Lab, Theory of Computation, Compiler Design Lab (prerequisite & corequisite)	revised			CS3040 Compiler Design	
CS3140	Compiler Design Laboratory	2023/05/19	[ug]	No	No	Yes	0-0-3-2	PMP	Piyush P Kurur	Unnikrishnan Cheramangalath		[2017, 2022]	20	TRUE	Compiler Design (Prerequisite & Corequisite)	revised			CS3140 Compiler Design Lab	
CS5016	Computational Methods and Applications	2023/05/25	[mcam]	No	Yes	No	2-0-3-4	PMT	Albert Sunny			2020	11	TRUE	Familiarity with coding, calculus, probability and linear algebra	NEW				
